LAESTAB,URN,LA,LA_Name,Region,School_name,School_type,Male_1_Alevel_2019,Male_count_2019,Male_1_Alevel%_2019,Female_1_Alevel_2019,Female_count_2019,Female_1_Alevel%_2019,All_1_Alevel_2019,All_count_2019,All_1_Alevel%_2019,Male_1_Alevel_2018,Male_count_2018,Male_1_Alevel%_2018,Female_1_Alevel_2018,Female_count_2018,Female_1_Alevel%_2018,All_1_Alevel_2018,All_count_2018,All_1_Alevel%_2018,Male_1_Alevel_2017,Male_count_2017,Male_1_Alevel%_2017,Female_1_Alevel_2017,Female_count_2017,Female_1_Alevel%_2017,All_1_Alevel_2017,All_count_2017,All_1_Alevel%_2017,Male_1_Alevel_2016,Male_count_2016,Male_1_Alevel%_2016,Female_1_Alevel_2016,Female_count_2016,Female_1_Alevel%_2016,All_1_Alevel_2016,All_count_2016,All_1_Alevel%_2016,engagement_all,engaged pre either
3574604,139735,357,Tameside,North West,All Saints Catholic College,Academy Converter,3,37,8.108108108,4,63,6.349206349,7,100,7,3,57,5.263157895,6,89,6.741573034,9,146,6.164383562,7,59,11.86440678,10,103,9.708737864,17,162,10.49382716,5,66,7.575757576,10,91,10.98901099,15,157,9.554140127,1,0
3834040,108058,383,Leeds,Yorkshire and the Humber,Allerton Grange School,Community School,19,115,16.52173913,19,126,15.07936508,38,241,15.76763485,28,119,23.52941176,20,137,14.59854015,48,256,18.75,25,104,24.03846154,23,143,16.08391608,48,247,19.43319838,13,107,12.14953271,10,99,10.1010101,23,206,11.16504854,1,0
3584024,138614,358,Trafford,North West,Altrincham College of Arts,Academy Converter,12,78,15.38461538,12,80,15,24,158,15.18987342,19,99,19.19191919,10,67,14.92537313,29,166,17.46987952,3,86,3.488372093,4,78,5.128205128,7,164,4.268292683,8,86,9.302325581,5,76,6.578947368,13,162,8.024691358,1,0
3585404,136458,358,Trafford,North West,Altrincham Grammar School for Boys,Academy Converter,139,176,78.97727273,0,0,-,139,176,78.97727273,143,188,76.06382979,0,0,-,143,188,76.06382979,133,175,76,0,0,-,133,175,76,172,218,78.89908257,0,0,-,172,218,78.89908257,1,1
3585407,137289,358,Trafford,North West,Altrincham Grammar School for Girls,Academy Converter,0,1,0,113,172,65.69767442,113,173,65.31791908,0,0,-,111,176,63.06818182,111,176,63.06818182,0,0,-,102,176,57.95454545,102,176,57.95454545,0,0,-,131,199,65.82914573,131,199,65.82914573,1,0
2106909,135315,210,Southwark,Inner London,Ark Walworth Academy,Academy Sponsor Led,27,106,25.47169811,9,60,15,36,166,21.68674699,15,97,15.46391753,10,69,14.49275362,25,165,15.15151515,11,106,10.37735849,9,52,17.30769231,20,158,12.65822785,10,111,9.009009009,8,59,13.55932203,18,170,10.58823529,1,0
8884000,119707,888,Lancashire,North West,Ashton Community Science College,Community School,10,90,11.11111111,4,61,6.557377049,14,151,9.271523179,7,68,10.29411765,3,58,5.172413793,10,126,7.936507937,10,92,10.86956522,8,61,13.1147541,18,153,11.76470588,7,85,8.235294118,2,81,2.469135802,9,166,5.421686747,1,1
9295400,122374,929,Northumberland,North East,Astley Community High School,Community School,5,75,6.666666667,9,68,13.23529412,14,143,9.79020979,11,70,15.71428571,11,62,17.74193548,22,132,16.66666667,9,72,12.5,22,83,26.5060241,31,155,20,18,79,22.78481013,13,73,17.80821918,31,152,20.39473684,1,0
8154232,121708,815,North Yorkshire,Yorkshire and the Humber,Barlby High School,Community School,6,64,9.375,8,50,16,14,114,12.28070175,7,57,12.28070175,5,55,9.090909091,12,112,10.71428571,6,75,8,8,62,12.90322581,14,137,10.2189781,6,54,11.11111111,4,50,8,10,104,9.615384615,1,0
8774002,139196,877,Warrington,North West,Beamont Collegiate Academy,Academy Sponsor Led,1,73,1.369863014,2,49,4.081632653,3,122,2.459016393,0,82,0,1,81,1.234567901,1,163,0.613496933,2,82,2.43902439,4,95,4.210526316,6,177,3.389830508,2,84,2.380952381,4,86,4.651162791,6,170,3.529411765,1,0
3444070,105106,344,Wirral,North West,Bebington High Sports College,Foundation School,5,108,4.62962963,1,31,3.225806452,6,139,4.316546763,3,88,3.409090909,0,41,0,3,129,2.325581395,4,101,3.96039604,0,34,0,4,135,2.962962963,6,98,6.12244898,0,27,0,6,125,4.8,1,0
9296905,135619,929,Northumberland,North East,Bede Academy,Academy Sponsor Led,14,92,15.2173913,8,85,9.411764706,22,177,12.42937853,18,92,19.56521739,12,82,14.63414634,30,174,17.24137931,11,82,13.41463415,15,96,15.625,26,178,14.60674157,13,84,15.47619048,11,92,11.95652174,24,176,13.63636364,1,0
8884626,137296,888,Lancashire,North West,Bishop Rawstorne Church of England Academy,Academy Converter,27,89,30.33707865,24,91,26.37362637,51,180,28.33333333,27,98,27.55102041,16,84,19.04761905,43,182,23.62637363,20,87,22.98850575,25,96,26.04166667,45,183,24.59016393,24,97,24.74226804,25,90,27.77777778,49,187,26.20320856,1,1
